"date","daily_vaccinations_United Kingdom","daily_vaccinations_Israel","daily_vaccinations_United States","daily_vaccinations_France","cumulative_vaccinations_percent_of_population_United Kingdom","cumulative_vaccinations_percent_of_population_Israel","cumulative_vaccinations_percent_of_population_United States","cumulative_vaccinations_percent_of_population_France"
"2020-12-13",0,0,0,0,0,0,0,0
"2020-12-14",84117,0,0,0,0.126512673353699,0,0,0
"2020-12-15",84117,0,0,0,0.253025346707397,0,0,0
"2020-12-16",84117,0,0,0,0.379538020061096,0,0,0
"2020-12-17",84117,0,0,0,0.506050693414794,0,0,0
"2020-12-18",84117,0,0,0,0.632563366768493,0,0,0
"2020-12-19",84117,0,0,0,0.759076040122191,0,0,0
"2020-12-20",84117,7372,0,0,0.88558871347589,0.0829825074855355,0,0
"2020-12-21",78831,16122,57909,0,1.00415119850443,0.264458902721808,0.0177001113136462,0
"2020-12-22",73544,25618,127432,0,1.11476199119942,0.552826493167338,0.0566501982590358,0
"2020-12-23",68258,34916,150606,0,1.21742259556924,0.94585650284788,0.102683508530375,0
"2020-12-24",62972,42592,191001,0,1.31213301161391,1.42529097908553,0.161063707826128,0
"2020-12-25",57685,41899,215238,0,1.39889173532503,1.89692473941331,0.226852040536528,0
"2020-12-26",52399,40564,231396,0,1.47770027071098,2.35353114658142,0.297579128856694,0
"2020-12-27",47112,54408,211379,0,1.54855711376339,2.96597176883766,0.362187943192414,0
"2020-12-28",48491,70100,216147,39,1.62148798437925,3.755048515275,0.428254115291927,5.82200396242604e-05
"2020-12-29",49870,85988,235685,62,1.69649288255856,4.72296764897904,0.500292153160941,0.000150774974411546
"2020-12-30",51249,98814,255223,75,1.77357180830132,5.8352619374592,0.578302056799455,0.000262736589073585
"2020-12-31",52629,110915,278776,76,1.85272626561591,7.08377045858754,0.663511026589523,0.000376191025264452
"2021-01-01",54008,115590,302329,62,1.93395475049396,8.38490285688557,0.755919062531144,0.000468745960051738
"2021-01-02",55387,121161,325882,59,2.01725726293545,9.74874490645895,0.855526164624319,0.000556822430252542
"2021-01-03",56766,127586,336949,61,2.1026338029404,11.1849096107522,0.958515938355894,0.000647884543511
"2021-01-04",74688,130012,348017,250,2.21496518122827,12.648382448952,1.06488868937976,0.0010210899257178
"2021-01-05",92610,125564,339372,944,2.35425139779907,14.0617866228416,1.16861906249508,0.00243031344893067
"2021-01-06",110532,118467,358887,2404,2.5204924526528,15.395303811432,1.27831427134034,0.00601905640423123
"2021-01-07",128454,112415,378253,6138,2.71368834578946,16.6606969990319,1.39392877348544,0.0151819949481725
"2021-01-08",146376,111707,419933,10814,2.93383907720904,17.9181206240573,1.52228292990799,0.0313253669609098
"2021-01-09",164298,107832,461263,12278,3.18094464691155,19.1319255273644,1.6632697617453,0.04965422969185
"2021-01-10",182220,92721,546636,13027,3.45500505489698,20.1756343006371,1.83035118342494,0.0691012157478818
"2021-01-11",179880,76793,632009,17659,3.72554608326061,21.0400504288705,2.02352719494692,0.0954629511254411
"2021-01-12",185810,67473,641524,24625,4.00500588134959,21.799556496094,2.21961150326472,0.132223681272811
"2021-01-13",201020,68289,710238,31246,4.30734164698032,22.568247821878,2.43669851321449,0.178868382762545
"2021-01-14",220981,69616,747082,37561,4.63969892399179,23.3518764492672,2.66504703521317,0.234940252206823
"2021-01-15",244311,69647,798707,41261,5.00714471663437,24.1358540264301,2.90917493945929,0.296535561307762
"2021-01-16",260958,71197,811670,42287,5.3996277368685,24.9372790922803,3.15726503512571,0.359662505297277
"2021-01-17",262404,86788,824632,42897,5.7942855532279,25.9142033814359,3.40931701655856,0.423700070419377
"2021-01-18",268518,108136,837595,48952,6.19813887685557,27.1314302438146,3.66533118941172,0.496776669898526
"2021-01-19",286118,129657,911493,58088,6.62846274806607,28.5909070442829,3.9439325736803,0.58349168686504
"2021-01-20",297294,145544,892403,67598,7.07559541699166,30.2292149755735,4.21669902512363,0.6844034365707
"2021-01-21",310246,161051,913912,77739,7.54220800252481,32.0420765888471,4.49603978616038,0.800453889400197
"2021-01-22",329466,167073,975540,84981,8.03772762922511,33.9227245097819,4.79421738534038,0.92731535574146
"2021-01-23",357218,172501,1057387,87546,8.57498649663671,35.864472410455,5.11741183873454,1.05800590930417
"2021-01-24",361321,180586,1122182,87437,9.11841631045356,37.8972286634098,5.46041113615238,1.18853374532023
"2021-01-25",371761,184895,1126251,86710,9.67754797181386,39.9784889349152,5.80465413926253,1.31797630008483
"2021-01-26",366883,184089,1119058,83647,10.2293430802702,42.0506765123033,6.14669857391735,1.44284634250664
"2021-01-27",359424,181587,1161050,80820,10.76991979018,44.0947004660168,6.50157802686437,1.56349617846646
"2021-01-28",359934,178174,1235330,78072,11.3112635443663,46.1003061752854,6.8791614510141,1.68004374086505
"2021-01-29",361343,177104,1253815,76418,11.8547264463676,48.0938674891375,7.26239488738357,1.79412217645497
"2021-01-30",377914,174767,1291416,75747,12.4231122713232,50.061122492627,7.65712121579925,1.90719892879904
"2021-01-31",392361,163802,1324949,75666,13.0132265054225,51.9049505842095,8.06209703622274,2.02015476259928
"2021-02-01",402534,149170,1355451,76290,13.6186410168264,53.584074382584,8.47639591170312,2.13404211703351
"2021-02-02",411699,134348,1319981,78017,14.2378397650823,55.096355163331,8.87985324358414,2.25050757424802
"2021-02-03",434171,121339,1317946,78753,14.8908365897747,56.4622008599923,9.28268856979207,2.36807174810774
"2021-02-04",443943,110003,1287147,80749,15.5585305844091,57.700443503906,9.67611006173677,2.48861559373901
"2021-02-05",445128,104475,1276364,83199,16.2280068289802,58.8764605236498,10.0662356877488,2.6128168521159
"2021-02-06",436908,99720,1351437,83466,16.8851201246233,59.9989531506788,10.479307668501,2.73741669384099
"2021-02-07",430859,98287,1441091,83798,17.5331356735433,61.1053152930052,10.9197827434133,2.86251215231366
"2021-02-08",431338,99174,1456459,86822,18.1818716424799,62.2216619014386,11.3649551073595,2.99212190308949
"2021-02-09",436774,103829,1489333,91354,18.8387834009994,63.3904072581553,11.8201755373978,3.12849712103397
"2021-02-10",434444,108243,1555959,96708,19.492190819981,64.6088385600756,12.2957604637386,3.27286490544379
"2021-02-11",437897,111394,1598080,103543,20.1507915799173,65.8627389180306,12.7842198377238,3.42743612500314
"2021-02-12",445204,113382,1655907,108969,20.8203821291257,67.1390170872825,13.2903542594035,3.59010739417791
"2021-02-13",439024,115390,1657703,110545,21.4806779065124,68.4378981967176,13.7970376354757,3.75513135008211
"2021-02-14",433313,118398,1667631,110893,22.1323842920101,69.7706386906504,14.3067555434017,3.92067480787835
"2021-02-15",422771,123125,1662106,114021,22.768235421109,71.1565883968572,14.8147847135666,4.09088781141675
"2021-02-16",417385,127121,1716311,116868,23.3959859610443,72.5875188545442,15.3393818530239,4.26535087784773
"2021-02-17",423322,126389,1644551,118038,24.0326657987636,74.0102095949931,15.84204526909,4.44156054546743
"2021-02-18",417544,125830,1621071,118156,24.6606554760321,75.4266079830703,16.3375319317387,4.61794636602754
"2021-02-19",394376,126001,1596355,118329,25.253800287028,76.8449312231252,16.8254640527578,4.79459044471213
"2021-02-20",371052,126358,1521088,119023,25.811865606443,78.2672730138004,17.2903905221814,4.97227054153773
"2021-02-21",358341,128372,1458040,118577,26.3508134752714,79.7122852833247,17.7360461249331,5.14928483996147
"2021-02-22",348100,129573,1446445,117629,26.874358794225,81.1708165424706,18.1781576707907,5.32488394357588
"2021-02-23",344633,127577,1401674,114258,27.3926897161065,82.6068799387649,18.6065847861863,5.49545074581662
"2021-02-24",342250,125657,1454731,111798,27.9074365860056,84.0213309619757,19.0512289802047,5.66234520709644
"2021-02-25",349781,121026,1505193,112080,28.4335101430551,85.3836533915667,19.5112970809925,5.8296606440474
"2021-02-26",371219,118163,1552717,115768,28.9918266318705,86.7137486210856,19.9858910774108,6.00248160679666
"2021-02-27",384059,115179,1645240,119107,29.5694545883543,88.0102546207704,20.4887650890094,6.18028710063068
"2021-02-28",391872,106362,1735053,119193,30.1588333623532,89.2075125509354,21.0190907937371,6.35822097711618
"2021-03-01",394821,98023,1817502,119645,30.7526474570805,90.3109029919629,21.5746173563228,6.53682960893271
"2021-03-02",383864,92040,1942788,123529,31.3299821319292,91.3469461266575,22.1684380725986,6.7212363595672
"2021-03-03",364840,89877,2010790,129283,31.8787045512542,92.3586415723001,22.7830438649343,6.91423280527857
"2021-03-04",354184,90204,2042676,133360,32.4114002572245,93.3740178752336,23.4073957373153,7.11331548436296
"2021-03-05",348037,90204,2079147,143732,32.9348508236499,94.389394178167,24.042895112843,7.32788170834435
"2021-03-06",349976,89721,2158020,163229,33.4612176623345,95.3993336184966,24.7025023279059,7.57155347367329
"2021-03-07",346947,90825,2159392,178131,33.9830288596198,96.4217001733492,25.3625289001105,7.8374712654248
"2021-03-08",350177,89893,2169981,185244,34.5096980039899,97.4335757221009,26.0257920413925,8.11400749671087
"2021-03-09",352165,89536,2151571,193966,35.0393571170301,98.4414327202323,26.6834280944967,8.40356411737136
"2021-03-10",351257,85686,2168688,201468,35.5676505904564,99.4059524077534,27.3462960252945,8.70431988514112
"2021-03-11",338103,81920,2233006,212876,36.0761603375813,100.328080325987,28.0288230032088,9.02210576091173
"2021-03-12",332820,81189,2302844,224875,36.5767244084062,101.241979783426,28.7326962377313,9.35780400220675
"2021-03-13",349372,80775,2541597,228554,37.102182826026,102.151219072919,29.5095452562678,9.69899433390632
"2021-03-14",363372,79498,2386932,221688,37.6486973610413,103.046083883023,30.2391203153796,10.029934952989
"2021-03-15",389942,79155,2427430,225647,38.2351733988564,103.937087732727,30.9810737458668,10.3667856525042
"2021-03-16",424070,77286,2435037,220391,38.8729782348479,104.807053288007,31.7253522855212,10.695790082064
"2021-03-17",458471,76535,2473762,214391,39.5625224633052,105.668565253608,32.481467272198,11.0158375824508
"2021-03-18",502171,73955,2503731,202972,40.317791858204,106.501035592877,33.2467424004065,11.3188385537999
"2021-03-19",542657,71415,2455116,185649,41.1339525365936,107.304914563588,33.9971581645868,11.5959793778051
"2021-03-20",582660,69599,2248285,182957,42.0102780624239,108.088351831423,34.6843552283385,11.8691015262548
"2021-03-21",602266,63586,2488734,181354,42.9160911766581,108.804104099597,35.4450464651075,12.1398306817937
"2021-03-22",598286,57001,2489697,183223,43.8159183375185,109.44573268196,36.2060320465759,12.41334992077
"2021-03-23",593384,45555,2497025,197568,44.7083728492737,109.958520002702,36.9692574597752,12.7082836845773
"2021-03-24",593163,42733,2490889,213249,45.6004949751757,110.439541637588,37.7306073806845,13.0266263827782
"2021-03-25",578742,38519,2510755,235663,46.470927796152,110.873128616133,38.4980294218403,13.3784291827262
"2021-03-26",572214,36004,2624410,261074,47.3315424503885,111.278405637227,39.300190556252,13.7681660705432
"2021-03-27",545575,33948,2677034,260099,48.1520918252467,111.660539408812,40.1184364211506,14.1564474573696
"2021-03-28",548534,27384,2711611,260637,48.9770915609172,111.968785879916,40.9472508807218,14.5455319821786
"2021-03-29",546772,25077,2757586,268510,49.7994412338127,112.251063733988,41.7901177780427,14.946369490884
